h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,years_since_2020,is_post_covid,event_intensity_score,month_sin,month_cos,period_sin,period_cos
892a100890fffff,40.77702950260984,-73.96109337937528,MD,2026-06-30T12:19:21.907338,0,6,5,1,0,1,0,13,5.8,9.582456140350876,60.23157894736842,69.81403508771929,8.75,0.0,0.0,0.0,289,12.72,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008913ffff,40.78242813923825,-73.95701890387848,MD,2026-06-30T12:19:21.907338,0,4,5,1,1,1,0,12,5.36,4.780701754385965,88.43859649122805,93.219298245614,11.69,0.0,0.0,0.0,314,13.83,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008917ffff,40.779843310500866,-73.95477763982299,MD,2026-06-30T12:19:21.907338,1,25,47,0,1,2,0,76,33.93,13.033333333333331,112.34912280701752,125.38245614035084,15.72,5447.0,217.88,13.08,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100891bffff,40.7823135419767,-73.9612977588396,MD,2026-06-30T12:19:21.907338,0,1,0,0,1,0,0,2,0.89,3.450877192982456,52.11754385964912,55.56842105263157,6.97,0.0,0.0,0.0,353,15.55,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008923ffff,40.771860397370624,-73.95661115441823,MD,2026-06-30T12:19:21.907338,0,34,39,0,0,1,0,74,33.04,17.336842105263155,94.6017543859649,111.93859649122804,14.03,0.0,0.0,0.0,229,10.07,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008927ffff,40.769275911782316,-73.95437041794992,MD,2026-06-30T12:19:21.907338,0,25,32,2,0,1,0,60,26.79,16.00701754385965,58.28070175438596,74.2877192982456,9.31,0.0,0.0,0.0,198,8.7,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100892bffff,40.77174581258311,-73.96088904594423,MD,2026-06-30T12:19:21.907338,0,12,22,1,0,0,0,35,15.62,16.00701754385965,58.28070175438596,74.2877192982456,9.31,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100892fffff,40.76916140919525,-73.95864807193213,MD,2026-06-30T12:19:21.907338,1,21,22,1,0,1,0,46,20.54,16.00701754385965,58.28070175438596,74.2877192982456,9.31,3451.0,143.79166666666666,8.26,434,19.13,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008933ffff,40.7745594364566,-73.954574005955,MD,2026-06-30T12:19:21.907338,0,26,30,0,0,2,0,58,25.89,9.582456140350876,60.23157894736842,69.81403508771929,8.75,0.0,0.0,0.0,214,9.41,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008937ffff,40.771974823972286,-73.95233325640773,MD,2026-06-30T12:19:21.907338,0,14,24,1,0,0,0,39,17.41,9.582456140350876,60.23157894736842,69.81403508771929,8.75,0.0,0.0,0.0,243,10.69,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a100893bffff,40.77444492765391,-73.95885214154829,MD,2026-06-30T12:19:21.907338,1,22,21,2,0,1,0,47,20.98,17.336842105263155,94.6017543859649,111.93859649122804,14.03,3484.0,124.42857142857144,8.34,190,8.35,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008943ffff,40.782083872660436,-73.96985544909506,MD,2026-06-30T12:19:21.907338,1,0,0,0,0,0,0,1,0.45,44.68070175438597,63.92280701754385,108.60350877192982,13.62,0.0,0.0,0.0,189,8.3,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
892a1008947ffff,40.779499290706866,-73.96761347217155,MD,2026-06-30T12:19:21.907338,0,0,1,0,1,0,0,2,0.89,3.6157894736842096,14.473684210526311,18.089473684210525,2.27,0.0,0.0,0.0,0,0.0,88.325,0.0,14.675,5.466666666666667,20.516666666666666,15.05,1,0,0,0,27,181,6,1,0.0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
