h3_cell,lat,lon,period,query_timestamp,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score,tlc_yellow_trips,tlc_hvfhv_trips,tlc_trip_count,tlc_load_score,mta_ridership_total,mta_ridership_avg,mta_load_score,citibike_trip_count,citibike_load_score,avg_temperature_f,precip_mm,avg_wind_kmh,sunrise_hour,sunset_hour,day_length_hr,day_of_week,is_weekend,is_holiday,is_school_break,week_of_year,day_of_year,event_intensity_score,month_sin,month_cos,period_sin,period_cos,ensemble_log_pred,pedestrians_pred,crowd_score
892a100d45bffff,40.76657705050458,-73.9564073485599,PM,2026-06-29T17:08:39.271921,0,33,33,1,0,0,0,67,29.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.911928774861812,7419.0,91.1
892a100d4cbffff,40.769390256203,-73.95009275750891,PM,2026-06-29T17:08:39.271921,0,9,5,0,0,1,0,15,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.25600331880928,3849.7,84.4
892a100d4dbffff,40.77208909238706,-73.94805535196039,PM,2026-06-29T17:08:39.271921,0,2,5,0,0,0,0,7,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,13.12,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,7.943507472310244,2816.2,81.2
892a100d603ffff,40.7608348151879,-73.97331126335344,PM,2026-06-29T17:08:39.271921,0,21,34,6,5,1,0,67,29.91,0.0,0.0,0.0,0.0,8376.0,322.15384615384613,20.15,785,34.63,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.859745228451272,7041.7,90.6
892a100d607ffff,40.75825100161534,-73.97107010462192,PM,2026-06-29T17:08:39.271921,2,21,8,6,3,0,0,40,17.86,0.0,0.0,0.0,0.0,21692.0,774.7142857142857,52.28,1215,53.62,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.77283359785956,6455.4,89.7
892a100d60bffff,40.76071961045465,-73.97758816549297,PM,2026-06-29T17:08:39.271921,1,18,24,3,5,0,0,51,22.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128,49.78,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.820420675167771,6770.1,90.2
892a100d60fffff,40.758135879118974,-73.97534676942504,PM,2026-06-29T17:08:39.271921,0,14,16,7,2,0,0,39,17.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669,29.51,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.772513633816889,6453.4,89.7
892a100d613ffff,40.76353380229301,-73.97127552650305,PM,2026-06-29T17:08:39.271921,0,13,19,1,4,0,0,37,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829,36.57,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.683661459167968,5904.6,88.8
892a100d617ffff,40.76094986181916,-73.96903435454628,PM,2026-06-29T17:08:39.271921,0,27,30,8,4,1,0,70,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527,23.23,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.883943042008172,7214.2,90.8
892a100d61bffff,40.76341867342425,-73.9755526726856,PM,2026-06-29T17:08:39.271921,1,32,20,2,5,0,0,60,26.79,0.0,0.0,0.0,0.0,3088.0,147.04761904761904,7.39,478,21.07,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.883100255755508,7208.1,90.8
892a100d623ffff,40.75296855046801,-73.97086472899026,PM,2026-06-29T17:08:39.271921,0,25,16,32,3,0,0,76,33.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,26.37,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.871025332194233,7121.6,90.7
892a100d627ffff,40.750384953197305,-73.96862408455311,PM,2026-06-29T17:08:39.271921,0,4,3,24,2,0,0,33,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,9.45,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.312684491073892,4074.2,85.0
892a100d62bffff,40.75285343434256,-73.97514091252218,PM,2026-06-29T17:08:39.271921,2,60,29,12,4,0,0,107,47.77,4432.0,30952.0,35384.0,24.26,0.0,0.0,0.0,585,25.8,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.798273699368895,6621.8,89.9
892a100d62fffff,40.750269919268,-73.97290003081406,PM,2026-06-29T17:08:39.271921,0,22,13,68,3,2,0,108,48.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438,19.3,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.517279906416755,4999.4,87.1
892a100d633ffff,40.75566723272888,-73.96882919645593,PM,2026-06-29T17:08:39.271921,0,35,11,11,3,0,0,60,26.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.758171973575022,6361.5,89.5
892a100d637ffff,40.7530835085508,-73.96658853882022,PM,2026-06-29T17:08:39.271921,0,5,5,30,1,0,0,41,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559,24.65,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.677734007691551,5869.7,88.7
892a100d63bffff,40.75555219244933,-73.97310562393587,PM,2026-06-29T17:08:39.271921,0,24,8,2,11,1,0,46,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169,51.59,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.788971818404487,6560.5,89.8
892a100d643ffff,40.7631879413235,-73.984106944923,PM,2026-06-29T17:08:39.271921,2,36,23,3,6,1,0,71,31.7,0.0,0.0,0.0,0.0,12615.0,213.8135593220339,30.38,840,37.06,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.751200938487964,6317.3,89.5
892a100d647ffff,40.76060424762045,-73.98186506091723,PM,2026-06-29T17:08:39.271921,0,28,14,0,9,0,0,51,22.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215,53.62,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.948046348068289,7691.8,91.5
892a100d64bffff,40.76307233809354,-73.98838407088253,PM,2026-06-29T17:08:39.271921,0,44,10,0,2,2,0,58,25.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521,22.97,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.54294882637524,5129.5,87.3
892a100d64fffff,40.76048872668632,-73.98614194957854,PM,2026-06-29T17:08:39.271921,1,38,20,1,16,0,0,76,33.93,0.0,0.0,0.0,0.0,7501.0,250.03333333333333,18.04,1243,54.86,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.903723752949121,7358.3,91.0
892a100d653ffff,40.7658872070349,-73.98207170950569,PM,2026-06-29T17:08:39.271921,0,49,25,3,7,0,0,84,37.5,2924.0,37094.0,40018.0,27.44,0.0,0.0,0.0,1740,76.81,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.832258583295866,6850.7,90.3
892a100d657ffff,40.76330338643407,-73.97982981217478,PM,2026-06-29T17:08:39.271921,2,37,14,0,6,1,0,60,26.79,11660.0,21934.0,33594.0,23.03,16553.0,295.5892857142857,39.88,804,35.47,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.775750549679906,6474.3,89.7
892a100d65bffff,40.76577167962786,-73.98634907959108,PM,2026-06-29T17:08:39.271921,0,27,10,1,0,1,1,40,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385,16.96,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.83572678040071,6874.5,90.3
892a100d663ffff,40.755321637705,-73.98165845885663,PM,2026-06-29T17:08:39.271921,1,35,22,9,9,1,0,77,34.38,7095.0,22273.0,29368.0,20.14,0.0,0.0,0.0,833,36.75,89.5,0.0,9.225,5.45,20.516666666666666,15.06,0,0,0,0,27,180,0.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,8.858111930342007,7030.2,90.5
