h3_cell,lat,lon
892a1008c07ffff,40.81413974593129,-73.95824325532541
892a1008c0fffff,40.81402511121314,-73.9625250031948
892a1008c13ffff,40.81942623537253,-73.9584474749269
892a1008c17ffff,40.816840206510214,-73.95620436236364
892a1008c23ffff,40.808853605442835,-73.95803908175758
892a1008c27ffff,40.80626791933083,-73.9557964976496
892a1008c2bffff,40.80873897697104,-73.96232034720423
892a1008c2fffff,40.80615337320434,-73.96007752518602
892a1008c33ffff,40.81155388842988,-73.95600040702085
892a1008c37ffff,40.808968075449066,-73.95375780980022
892a1008c3bffff,40.81143933607772,-73.96028191692756
892a1008c67ffff,40.808624190034706,-73.96660160609242
892a1008c77ffff,40.81132462524054,-73.96456342029781
892a1008c83ffff,40.82224127975793,-73.95212588222418
892a1008c87ffff,40.8196550416668,-73.94988299461866
892a1008c8bffff,40.82212687351623,-73.95640836369351
892a1008c8fffff,40.81954071779295,-73.95416523800796
892a1008c93ffff,40.82494189238363,-73.95008629497808
892a1008c97ffff,40.82235552743258,-73.94784339430656
892a1008c9bffff,40.82482756234053,-73.95436902101487
892a1008ca3ffff,40.81436853984995,-73.94967974009114
892a1008ca7ffff,40.81178251767498,-73.94743736778926
892a1008cabffff,40.81425422214389,-73.95396150094159
892a1008cafffff,40.81166828229594,-73.95171889062547
892a1008cb3ffff,40.81706884808951,-73.94764035816301
892a1008cb7ffff,40.814482699048455,-73.9453979728219
892a1008cbbffff,40.81695460656339,-73.95192236348562
892a1008cd7ffff,40.82471307371088,-73.95865174057754
892a1008d03ffff,40.79862526917925,-73.94478993105159
892a1008d07ffff,40.7960396791369,-73.9425485887215
892a1008d0bffff,40.79851112835567,-73.94907025134482
892a1008d0fffff,40.79592562055874,-73.94682867113205
892a1008d13ffff,40.80132496853502,-73.94275095971432
892a1008d17ffff,40.79873925161426,-73.94050960439843
892a1008d1bffff,40.801210903853985,-73.94703152428924
892a1008d23ffff,40.79075473889112,-73.94234626332813
892a1008d27ffff,40.78816936506508,-73.94010543566644
892a1008d2bffff,40.79064068641442,-73.94662586368284
892a1008d2fffff,40.788055394793034,-73.9443847982042
892a1008d33ffff,40.79345413374928,-73.94030749726367
892a1008d37ffff,40.79086863303869,-73.9380666566429
892a1008d3bffff,40.793340157396464,-73.94458734180492
892a1008d43ffff,40.8009822992687,-73.95559263423436
892a1008d47ffff,40.7983968291445,-73.9533505652304
892a1008d4bffff,40.80086775936645,-73.95987317950902
892a1008d4fffff,40.798282371546726,-73.95763087266054
892a1008d53ffff,40.80368227776406,-73.95355416456833
892a1008d57ffff,40.80109668076489,-73.95131208247851
892a1008d5bffff,40.80356781396277,-73.95783495420781
892a1008d63ffff,40.79311172964596,-73.95314701177097
892a1008d67ffff,40.79052647560959,-73.95090545765932
892a1008d6bffff,40.79299727825027,-73.95742683710027
892a1008d6fffff,40.7904121064776,-73.95518504520979
892a1008d73ffff,40.7958114036125,-73.95110874716067
892a1008d77ffff,40.79322602269502,-73.94886717998989
892a1008d7bffff,40.795697028299124,-73.95538881675961
892a1008d83ffff,40.80413854869356,-73.93643094189662
892a1008d87ffff,40.80155262266892,-73.93418981159861
892a1008d8bffff,40.804024718604516,-73.94071175708605
892a1008d8fffff,40.801438874806976,-73.93847038880152
892a1008d93ffff,40.806838273252424,-73.93439126364949
