h3_cell,poi_subway,poi_dining,poi_retail,poi_office,poi_tourism,poi_school,poi_nightlife,poi_total,poi_density_score
892a100aac7ffff,0,0,0,0,0,0,0,0,0.0
892a100aad7ffff,0,2,1,0,0,0,0,3,1.34
892a100ab0bffff,0,0,0,0,0,1,0,1,0.45
892a100ab43ffff,0,2,6,0,0,3,0,11,4.91
892a100ab47ffff,0,1,6,0,0,1,0,8,3.57
892a100ab4bffff,0,1,0,0,0,0,0,1,0.45
892a100ab4fffff,0,3,1,1,1,0,0,6,2.68
892a100ab53ffff,0,7,13,1,0,0,0,21,9.38
892a100ab57ffff,1,6,4,1,0,0,0,12,5.36
892a100ab5bffff,0,10,10,1,0,1,0,22,9.82
892a100ab63ffff,0,0,0,0,0,0,0,0,0.0
892a100ab67ffff,0,0,0,0,0,1,0,1,0.45
892a100ab6bffff,0,4,4,0,0,0,0,8,3.57
892a100ab6fffff,0,1,0,0,0,0,0,1,0.45
892a100ab73ffff,0,1,0,0,0,2,0,3,1.34
892a100ab77ffff,0,0,0,0,0,0,0,0,0.0
892a100ab7bffff,1,3,6,0,0,1,0,11,4.91
892a100abcbffff,0,0,2,0,0,2,0,4,1.79
892a100abcfffff,1,0,0,0,0,1,0,2,0.89
892a100abdbffff,0,0,0,0,0,0,0,0,0.0
892a100ae03ffff,0,5,2,0,0,1,0,8,3.57
892a100ae07ffff,0,10,3,0,0,2,0,15,6.7
892a100ae0bffff,0,9,12,0,0,0,0,21,9.38
892a100ae0fffff,0,2,4,0,0,2,0,8,3.57
892a100ae13ffff,0,1,5,0,0,0,0,6,2.68
892a100ae17ffff,1,1,0,0,0,2,0,4,1.79
892a100ae1bffff,0,3,2,0,0,3,0,8,3.57
892a100ae23ffff,0,0,0,0,0,0,0,0,0.0
892a100ae2bffff,0,2,5,3,0,0,0,10,4.46
892a100ae2fffff,0,0,0,0,0,0,0,0,0.0
892a100ae33ffff,0,0,0,0,0,0,0,0,0.0
892a100ae3bffff,1,7,22,3,2,0,0,35,15.62
892a100ae47ffff,0,0,0,0,0,0,0,0,0.0
892a100ae57ffff,0,0,0,0,0,1,0,1,0.45
892a100ae63ffff,1,2,0,0,0,0,0,3,1.34
892a100ae67ffff,0,12,17,2,0,1,0,32,14.29
892a100ae6bffff,0,0,0,0,0,0,0,0,0.0
892a100ae6fffff,0,0,0,0,0,0,0,0,0.0
892a100ae73ffff,1,10,17,1,0,0,0,29,12.95
892a100ae77ffff,0,17,18,0,0,0,0,35,15.62
892a100ae7bffff,0,0,0,0,0,0,0,0,0.0
892a100ae83ffff,1,0,0,0,0,0,0,1,0.45
892a100ae87ffff,0,0,0,0,0,0,0,0,0.0
892a100ae8bffff,0,0,0,0,0,4,0,4,1.79
892a100ae8fffff,0,0,0,0,0,1,0,1,0.45
892a100ae93ffff,0,0,0,0,0,0,0,0,0.0
892a100ae97ffff,0,0,0,0,0,0,1,1,0.45
892a100ae9bffff,0,7,4,0,0,0,0,11,4.91
892a100aeabffff,0,0,0,0,0,0,0,0,0.0
892a100aebbffff,0,0,0,0,0,0,0,0,0.0
892a100aec3ffff,0,0,0,0,0,0,0,0,0.0
892a100aec7ffff,1,1,1,0,0,0,0,3,1.34
892a100aecfffff,0,0,0,1,0,0,0,1,0.45
892a100aed3ffff,0,0,0,0,1,0,0,1,0.45
892a100aed7ffff,0,0,0,1,0,0,0,1,0.45
892a100d04bffff,0,4,8,1,0,1,0,14,6.25
892a100d05bffff,0,1,4,1,1,0,0,7,3.12
892a100d203ffff,1,17,19,2,3,1,0,43,19.2
892a100d207ffff,1,33,21,2,2,1,0,60,26.79
892a100d20bffff,2,44,26,4,1,3,0,80,35.71
892a100d20fffff,0,31,51,8,0,1,0,91,40.62
892a100d213ffff,0,28,19,7,7,2,0,63,28.12
892a100d217ffff,1,47,39,9,3,0,0,99,44.2
892a100d21bffff,1,51,43,13,11,0,2,121,54.02
892a100d223ffff,1,22,19,0,2,2,0,46,20.54
892a100d227ffff,1,45,47,1,0,3,0,97,43.3
892a100d22bffff,2,30,36,2,1,1,0,72,32.14
892a100d22fffff,0,58,36,0,0,0,1,95,42.41
892a100d233ffff,0,20,27,3,0,1,0,51,22.77
892a100d237ffff,0,11,20,1,0,3,0,35,15.62
892a100d23bffff,0,33,14,4,2,1,0,54,24.11
892a100d243ffff,1,32,35,0,3,1,0,72,32.14
892a100d247ffff,1,12,14,0,0,1,0,28,12.5
892a100d24bffff,0,17,12,0,0,5,0,34,15.18
892a100d24fffff,0,24,15,0,0,3,0,42,18.75
892a100d253ffff,0,7,11,2,0,2,0,22,9.82
892a100d257ffff,1,34,37,7,10,0,1,90,40.18
892a100d25bffff,0,14,12,0,0,0,0,26,11.61
892a100d263ffff,2,17,27,2,1,8,0,57,25.45
892a100d267ffff,0,38,23,4,1,4,0,70,31.25
892a100d26bffff,1,29,8,0,0,2,1,41,18.3
892a100d26fffff,1,29,41,1,2,1,0,75,33.48
892a100d273ffff,0,22,32,4,2,3,1,64,28.57
892a100d277ffff,1,38,46,3,0,4,0,92,41.07
892a100d27bffff,1,17,13,0,1,1,0,33,14.73
892a100d283ffff,0,11,24,7,2,1,0,45,20.09
892a100d287ffff,0,38,42,4,0,1,0,85,37.95
892a100d28bffff,1,44,42,8,5,2,0,102,45.54
892a100d28fffff,0,35,27,5,5,1,0,73,32.59
892a100d293ffff,1,44,26,28,5,0,0,104,46.43
892a100d297ffff,0,21,30,5,0,0,0,56,25.0
892a100d29bffff,0,15,18,13,7,0,0,53,23.66
892a100d2a3ffff,0,2,1,0,0,0,0,3,1.34
892a100d2a7ffff,0,0,1,0,0,2,0,3,1.34
892a100d2abffff,0,27,47,3,2,0,0,79,35.27
892a100d2afffff,0,9,28,0,0,1,0,38,16.96
892a100d2b3ffff,0,7,0,0,0,1,0,8,3.57
892a100d2bbffff,0,33,41,2,0,2,0,78,34.82
892a100d2c3ffff,2,25,53,0,0,1,0,81,36.16
892a100d2c7ffff,1,63,58,5,10,0,0,137,61.16
892a100d2cbffff,1,36,21,5,3,1,0,67,29.91
892a100d2cfffff,1,37,51,5,11,1,0,106,47.32
892a100d2d3ffff,0,45,45,4,2,0,0,96,42.86
892a100d2d7ffff,1,42,51,9,16,1,0,120,53.57
892a100d2dbffff,1,33,34,9,4,1,0,82,36.61
892a100d30bffff,0,2,10,1,0,0,0,13,5.8
892a100d30fffff,0,0,0,0,0,0,0,0,0.0
892a100d31bffff,0,0,0,0,0,1,0,1,0.45
892a100d343ffff,0,59,19,1,0,0,1,80,35.71
892a100d347ffff,0,16,14,2,0,2,1,35,15.62
892a100d34bffff,0,72,32,0,1,1,0,106,47.32
892a100d34fffff,0,35,45,1,0,1,1,83,37.05
892a100d353ffff,0,40,33,0,0,2,0,75,33.48
