h3_cell,period,tlc_yellow_trips,tlc_yellow_avg_fare,tlc_hvfhv_trips,tlc_hvfhv_avg_fare,tlc_trip_count,tlc_load_score,survey_date
892a1008903ffff,AM,7.998245614035087,28.18687010625842,92.75789473684212,26.472317868505357,100.7561403508772,12.63,reference
892a1008903ffff,EARLY,29.229824561403507,25.225017991395507,122.43157894736842,25.265552862299227,151.66140350877194,19.01,reference
892a1008903ffff,EVE,28.65087719298246,25.616513985845916,157.94035087719297,24.410444601681792,186.59122807017545,23.39,reference
892a1008903ffff,MD,13.033333333333331,26.495405556875124,112.34912280701752,26.617690073365363,125.38245614035084,15.72,reference
892a1008903ffff,NIGHT,21.09122807017544,24.53112720937221,81.55087719298244,23.753388362964294,102.64210526315787,12.87,reference
892a1008903ffff,PM,19.12456140350877,26.62158063324972,131.9175438596491,27.33492562046752,151.04210526315788,18.94,reference
892a1008907ffff,AM,4.7859649122807015,26.876697840982388,47.84736842105262,27.723600049759863,52.633333333333326,6.6,reference
892a1008907ffff,EARLY,27.392982456140352,24.382861275536435,80.50526315789473,26.731021987398123,107.89824561403508,13.53,reference
892a1008907ffff,EVE,26.24736842105263,24.58804105176157,99.98421052631578,25.66819134629445,126.2315789473684,15.83,reference
892a1008907ffff,MD,9.582456140350876,24.511623841159157,60.23157894736842,27.416568435526887,69.81403508771929,8.75,reference
892a1008907ffff,NIGHT,19.947368421052637,24.05521842142028,55.14035087719298,25.917201250438204,75.08771929824562,9.41,reference
892a1008907ffff,PM,15.549122807017543,24.85622521876565,72.0578947368421,28.163671256023672,87.60701754385964,10.98,reference
892a100890bffff,AM,4.629824561403509,21.44667211426101,21.17543859649123,34.47386021744097,25.80526315789474,3.24,reference
892a100890bffff,EARLY,29.385964912280706,21.530121456276305,63.36140350877193,33.99128735524106,92.74736842105264,11.63,reference
892a100890bffff,EVE,31.587719298245613,21.23691946376524,86.92982456140349,34.70714278501588,118.51754385964912,14.86,reference
892a100890bffff,MD,11.86842105263158,21.651684369708583,38.38421052631578,35.92805148286741,50.25263157894736,6.3,reference
892a100890bffff,NIGHT,22.059649122807016,22.650297826816683,48.931578947368415,37.0340684924124,70.99122807017542,8.9,reference
892a100890bffff,PM,21.09298245614035,23.22284586053416,54.128070175438594,38.23218645534435,75.22105263157894,9.43,reference
892a100890fffff,AM,4.7859649122807015,26.876697840982388,47.84736842105262,27.723600049759863,52.633333333333326,6.6,reference
892a100890fffff,EARLY,27.392982456140352,24.382861275536435,80.50526315789473,26.731021987398123,107.89824561403508,13.53,reference
892a100890fffff,EVE,26.24736842105263,24.58804105176157,99.98421052631578,25.66819134629445,126.2315789473684,15.83,reference
892a100890fffff,MD,9.582456140350876,24.511623841159157,60.23157894736842,27.416568435526887,69.81403508771929,8.75,reference
892a100890fffff,NIGHT,19.947368421052637,24.05521842142028,55.14035087719298,25.917201250438204,75.08771929824562,9.41,reference
892a100890fffff,PM,15.549122807017543,24.85622521876565,72.0578947368421,28.163671256023672,87.60701754385964,10.98,reference
892a1008913ffff,AM,4.787719298245614,33.218373465398564,80.01228070175439,24.35886840633683,84.80000000000001,10.63,reference
892a1008913ffff,EARLY,2.789473684210526,29.07776884231189,75.98421052631578,22.58991664000219,78.7736842105263,9.88,reference
892a1008913ffff,EVE,3.310526315789474,29.91657518812916,96.5122807017544,21.33862971739673,99.82280701754388,12.52,reference
892a1008913ffff,MD,4.780701754385965,31.216154678850103,88.43859649122805,24.82926605142305,93.219298245614,11.69,reference
892a1008913ffff,NIGHT,1.6982456140350877,27.6065673293469,45.21228070175438,19.23953940728621,46.91052631578947,5.88,reference
892a1008913ffff,PM,4.885964912280701,31.016948943960337,98.79649122807017,24.784135080417897,103.68245614035088,13.0,reference
892a1008917ffff,AM,7.998245614035087,28.18687010625842,92.75789473684212,26.472317868505357,100.7561403508772,12.63,reference
892a1008917ffff,EARLY,29.229824561403507,25.225017991395507,122.43157894736842,25.265552862299227,151.66140350877194,19.01,reference
892a1008917ffff,EVE,28.65087719298246,25.616513985845916,157.94035087719297,24.410444601681792,186.59122807017545,23.39,reference
892a1008917ffff,MD,13.033333333333331,26.495405556875124,112.34912280701752,26.617690073365363,125.38245614035084,15.72,reference
892a1008917ffff,NIGHT,21.09122807017544,24.53112720937221,81.55087719298244,23.753388362964294,102.64210526315787,12.87,reference
892a1008917ffff,PM,19.12456140350877,26.62158063324972,131.9175438596491,27.33492562046752,151.04210526315788,18.94,reference
892a100891bffff,AM,3.212280701754386,30.80721463681049,44.91052631578948,23.969753505996326,48.12280701754386,6.03,reference
892a100891bffff,EARLY,1.8368421052631576,26.90933142311366,41.92631578947368,22.33461461210143,43.76315789473684,5.49,reference
892a100891bffff,EVE,2.4035087719298245,27.6734598540146,57.95614035087719,21.89495111245649,60.35964912280701,7.57,reference
892a100891bffff,MD,3.450877192982456,30.46296898830707,52.11754385964912,25.019933349042315,55.56842105263157,6.97,reference
892a100891bffff,NIGHT,1.1438596491228068,25.482944785276075,26.410526315789472,19.425762588016475,27.55438596491228,3.45,reference
892a100891bffff,PM,3.575438596491228,30.15229146221786,59.85964912280701,25.67743434935522,63.43508771929824,7.95,reference
892a1008923ffff,AM,7.080701754385965,25.25765330071609,63.67719298245614,29.329564317040397,70.7578947368421,8.87,reference
892a1008923ffff,EARLY,43.43333333333333,22.15003832748037,122.6175438596491,27.64873123328069,166.05087719298243,20.82,reference
892a1008923ffff,EVE,45.41754385964912,22.489535680583185,169.52280701754384,26.75202555513069,214.9403508771929,26.95,reference
892a1008923ffff,MD,17.336842105263155,22.974280901647575,94.6017543859649,29.20458619503538,111.93859649122804,14.03,reference
892a1008923ffff,NIGHT,29.422807017543857,22.52907791076849,84.34561403508772,27.35933218061492,113.76842105263158,14.26,reference
892a1008923ffff,PM,32.07368421052631,23.698326102243957,123.45614035087718,30.32931396360777,155.52982456140347,19.5,reference
892a1008927ffff,AM,5.505263157894736,20.07171380408081,28.575438596491228,31.620354822221927,34.08070175438596,4.27,reference
892a1008927ffff,EARLY,42.48070175438597,17.6019543604655,88.55964912280702,30.05048751596956,131.040350877193,16.43,reference
892a1008927ffff,EVE,44.51052631578947,17.65445825975292,130.96666666666667,29.736884171527542,175.47719298245613,22.0,reference
892a1008927ffff,MD,16.00701754385965,18.4767511677748,58.28070175438596,31.48757991565117,74.2877192982456,9.31,reference
892a1008927ffff,NIGHT,28.86842105263157,18.928521929443875,65.54385964912281,31.51234015764441,94.41228070175438,11.84,reference
892a1008927ffff,PM,30.76315789473684,19.60668594051452,84.51929824561402,33.548553039671376,115.28245614035086,14.45,reference
892a100892bffff,AM,5.505263157894736,20.07171380408081,28.575438596491228,31.620354822221927,34.08070175438596,4.27,reference
892a100892bffff,EARLY,42.48070175438597,17.6019543604655,88.55964912280702,30.05048751596956,131.040350877193,16.43,reference
892a100892bffff,EVE,44.51052631578947,17.65445825975292,130.96666666666667,29.736884171527542,175.47719298245613,22.0,reference
892a100892bffff,MD,16.00701754385965,18.4767511677748,58.28070175438596,31.48757991565117,74.2877192982456,9.31,reference
892a100892bffff,NIGHT,28.86842105263157,18.928521929443875,65.54385964912281,31.51234015764441,94.41228070175438,11.84,reference
892a100892bffff,PM,30.76315789473684,19.60668594051452,84.51929824561402,33.548553039671376,115.28245614035086,14.45,reference
892a100892fffff,AM,5.505263157894736,20.07171380408081,28.575438596491228,31.620354822221927,34.08070175438596,4.27,reference
892a100892fffff,EARLY,42.48070175438597,17.6019543604655,88.55964912280702,30.05048751596956,131.040350877193,16.43,reference
892a100892fffff,EVE,44.51052631578947,17.65445825975292,130.96666666666667,29.736884171527542,175.47719298245613,22.0,reference
892a100892fffff,MD,16.00701754385965,18.4767511677748,58.28070175438596,31.48757991565117,74.2877192982456,9.31,reference
892a100892fffff,NIGHT,28.86842105263157,18.928521929443875,65.54385964912281,31.51234015764441,94.41228070175438,11.84,reference
892a100892fffff,PM,30.76315789473684,19.60668594051452,84.51929824561402,33.548553039671376,115.28245614035086,14.45,reference
892a1008933ffff,AM,4.7859649122807015,26.876697840982388,47.84736842105262,27.723600049759863,52.633333333333326,6.6,reference
892a1008933ffff,EARLY,27.392982456140352,24.382861275536435,80.50526315789473,26.731021987398123,107.89824561403508,13.53,reference
892a1008933ffff,EVE,26.24736842105263,24.58804105176157,99.98421052631578,25.66819134629445,126.2315789473684,15.83,reference
892a1008933ffff,MD,9.582456140350876,24.511623841159157,60.23157894736842,27.416568435526887,69.81403508771929,8.75,reference
892a1008933ffff,NIGHT,19.947368421052637,24.05521842142028,55.14035087719298,25.917201250438204,75.08771929824562,9.41,reference
892a1008933ffff,PM,15.549122807017543,24.85622521876565,72.0578947368421,28.163671256023672,87.60701754385964,10.98,reference
892a1008937ffff,AM,4.7859649122807015,26.876697840982388,47.84736842105262,27.723600049759863,52.633333333333326,6.6,reference
892a1008937ffff,EARLY,27.392982456140352,24.382861275536435,80.50526315789473,26.731021987398123,107.89824561403508,13.53,reference
892a1008937ffff,EVE,26.24736842105263,24.58804105176157,99.98421052631578,25.66819134629445,126.2315789473684,15.83,reference
892a1008937ffff,MD,9.582456140350876,24.511623841159157,60.23157894736842,27.416568435526887,69.81403508771929,8.75,reference
892a1008937ffff,NIGHT,19.947368421052637,24.05521842142028,55.14035087719298,25.917201250438204,75.08771929824562,9.41,reference
892a1008937ffff,PM,15.549122807017543,24.85622521876565,72.0578947368421,28.163671256023672,87.60701754385964,10.98,reference
892a100893bffff,AM,7.080701754385965,25.25765330071609,63.67719298245614,29.329564317040397,70.7578947368421,8.87,reference
892a100893bffff,EARLY,43.43333333333333,22.15003832748037,122.6175438596491,27.64873123328069,166.05087719298243,20.82,reference
892a100893bffff,EVE,45.41754385964912,22.489535680583185,169.52280701754384,26.75202555513069,214.9403508771929,26.95,reference
892a100893bffff,MD,17.336842105263155,22.974280901647575,94.6017543859649,29.20458619503538,111.93859649122804,14.03,reference
892a100893bffff,NIGHT,29.422807017543857,22.52907791076849,84.34561403508772,27.35933218061492,113.76842105263158,14.26,reference
892a100893bffff,PM,32.07368421052631,23.698326102243957,123.45614035087718,30.32931396360777,155.52982456140347,19.5,reference
892a1008943ffff,AM,18.53157894736842,18.746587235222165,40.70701754385964,33.35570807203171,59.23859649122807,7.43,reference
892a1008943ffff,EARLY,37.4719298245614,20.93672180303969,85.7719298245614,34.5696966602788,123.2438596491228,15.45,reference
