h3_cell,period,citibike_trip_count,citibike_load_score,survey_date
892a10089a7ffff,AM,205,9.01,reference
892a10089a7ffff,EARLY,61,2.65,reference
892a10089a7ffff,EVE,153,6.71,reference
892a10089a7ffff,MD,167,7.33,reference
892a10089a7ffff,NIGHT,17,0.71,reference
892a10089a7ffff,PM,208,9.14,reference
892a10089abffff,AM,216,9.5,reference
892a10089abffff,EARLY,75,3.27,reference
892a10089abffff,EVE,305,13.43,reference
892a10089abffff,MD,249,10.95,reference
892a10089abffff,NIGHT,58,2.52,reference
892a10089abffff,PM,400,17.62,reference
892a10089afffff,AM,157,6.89,reference
892a10089afffff,EARLY,70,3.05,reference
892a10089afffff,EVE,144,6.32,reference
892a10089afffff,MD,132,5.79,reference
892a10089afffff,NIGHT,28,1.19,reference
892a10089afffff,PM,185,8.13,reference
892a10089b7ffff,AM,135,5.92,reference
892a10089b7ffff,EARLY,43,1.86,reference
892a10089b7ffff,EVE,124,5.43,reference
892a10089b7ffff,MD,111,4.86,reference
892a10089b7ffff,NIGHT,36,1.55,reference
892a10089b7ffff,PM,112,4.9,reference
892a10089bbffff,AM,371,16.34,reference
892a10089bbffff,EARLY,143,6.27,reference
892a10089bbffff,EVE,347,15.28,reference
892a10089bbffff,MD,363,15.99,reference
892a10089bbffff,NIGHT,50,2.16,reference
892a10089bbffff,PM,407,17.93,reference
892a10089dbffff,AM,152,6.67,reference
892a10089dbffff,EARLY,14,0.57,reference
892a10089dbffff,EVE,127,5.57,reference
892a10089dbffff,MD,219,9.63,reference
892a10089dbffff,NIGHT,12,0.49,reference
892a10089dbffff,PM,231,10.16,reference
892a1008b03ffff,AM,373,16.43,reference
892a1008b03ffff,EARLY,54,2.34,reference
892a1008b03ffff,EVE,305,13.43,reference
892a1008b03ffff,MD,314,13.83,reference
892a1008b03ffff,NIGHT,22,0.93,reference
892a1008b03ffff,PM,444,19.57,reference
892a1008b13ffff,AM,213,9.36,reference
892a1008b13ffff,EARLY,40,1.72,reference
892a1008b13ffff,EVE,209,9.19,reference
892a1008b13ffff,MD,241,10.6,reference
892a1008b13ffff,NIGHT,18,0.75,reference
892a1008b13ffff,PM,305,13.43,reference
892a1008b23ffff,AM,303,13.34,reference
892a1008b23ffff,EARLY,85,3.71,reference
892a1008b23ffff,EVE,255,11.22,reference
892a1008b23ffff,MD,328,14.44,reference
892a1008b23ffff,NIGHT,32,1.37,reference
892a1008b23ffff,PM,355,15.64,reference
892a1008b27ffff,AM,228,10.03,reference
892a1008b27ffff,EARLY,68,2.96,reference
892a1008b27ffff,EVE,278,12.23,reference
892a1008b27ffff,MD,272,11.97,reference
892a1008b27ffff,NIGHT,35,1.5,reference
892a1008b27ffff,PM,379,16.7,reference
892a1008b2bffff,AM,793,34.98,reference
892a1008b2bffff,EARLY,165,7.24,reference
892a1008b2bffff,EVE,646,28.49,reference
892a1008b2bffff,MD,586,25.84,reference
892a1008b2bffff,NIGHT,98,4.28,reference
892a1008b2bffff,PM,849,37.46,reference
892a1008b2fffff,AM,261,11.48,reference
892a1008b2fffff,EARLY,69,3.0,reference
892a1008b2fffff,EVE,230,10.11,reference
892a1008b2fffff,MD,233,10.25,reference
892a1008b2fffff,NIGHT,38,1.63,reference
892a1008b2fffff,PM,263,11.57,reference
892a1008b33ffff,AM,205,9.01,reference
892a1008b33ffff,EARLY,52,2.25,reference
892a1008b33ffff,EVE,211,9.28,reference
892a1008b33ffff,MD,208,9.14,reference
892a1008b33ffff,NIGHT,66,2.87,reference
892a1008b33ffff,PM,252,11.09,reference
892a1008b37ffff,AM,418,18.42,reference
892a1008b37ffff,EARLY,77,3.36,reference
892a1008b37ffff,EVE,646,28.49,reference
892a1008b37ffff,MD,605,26.68,reference
892a1008b37ffff,NIGHT,73,3.18,reference
892a1008b37ffff,PM,897,39.58,reference
892a1008b3bffff,AM,351,15.46,reference
892a1008b3bffff,EARLY,95,4.15,reference
892a1008b3bffff,EVE,251,11.04,reference
892a1008b3bffff,MD,247,10.87,reference
892a1008b3bffff,NIGHT,41,1.77,reference
892a1008b3bffff,PM,340,14.97,reference
892a1008b83ffff,AM,165,7.24,reference
892a1008b83ffff,EARLY,70,3.05,reference
892a1008b83ffff,EVE,159,6.98,reference
892a1008b83ffff,MD,168,7.38,reference
892a1008b83ffff,NIGHT,24,1.02,reference
892a1008b83ffff,PM,195,8.57,reference
892a1008b87ffff,AM,279,12.28,reference
892a1008b87ffff,EARLY,55,2.39,reference
892a1008b87ffff,EVE,240,10.56,reference
892a1008b87ffff,MD,299,13.16,reference
892a1008b87ffff,NIGHT,46,1.99,reference
892a1008b87ffff,PM,343,15.11,reference
892a1008b8bffff,AM,140,6.14,reference
892a1008b8bffff,EARLY,16,0.66,reference
892a1008b8bffff,EVE,73,3.18,reference
892a1008b8bffff,MD,90,3.93,reference
892a1008b8bffff,NIGHT,3,0.09,reference
892a1008b8bffff,PM,139,6.1,reference
892a1008b97ffff,AM,241,10.6,reference
892a1008b97ffff,EARLY,68,2.96,reference
892a1008b97ffff,EVE,308,13.56,reference
892a1008b97ffff,MD,293,12.9,reference
892a1008b97ffff,NIGHT,65,2.83,reference
892a1008b97ffff,PM,368,16.21,reference
892a1008b9bffff,AM,167,7.33,reference
892a1008b9bffff,EARLY,56,2.43,reference
892a1008b9bffff,EVE,171,7.51,reference
892a1008b9bffff,MD,167,7.33,reference
892a1008b9bffff,NIGHT,18,0.75,reference
892a1008b9bffff,PM,197,8.66,reference
892a1008ba3ffff,AM,695,30.65,reference
892a1008ba3ffff,EARLY,207,9.1,reference
892a1008ba3ffff,EVE,761,33.57,reference
892a1008ba3ffff,MD,866,38.21,reference
892a1008ba3ffff,NIGHT,97,4.24,reference
892a1008ba3ffff,PM,1239,54.68,reference
892a1008ba7ffff,AM,239,10.51,reference
892a1008ba7ffff,EARLY,51,2.21,reference
892a1008ba7ffff,EVE,373,16.43,reference
892a1008ba7ffff,MD,382,16.83,reference
892a1008ba7ffff,NIGHT,39,1.68,reference
892a1008ba7ffff,PM,613,27.03,reference
892a1008babffff,AM,498,21.95,reference
892a1008babffff,EARLY,183,8.04,reference
892a1008babffff,EVE,729,32.16,reference
892a1008babffff,MD,603,26.59,reference
892a1008babffff,NIGHT,133,5.83,reference
892a1008babffff,PM,754,33.26,reference
892a1008bb3ffff,AM,315,13.87,reference
892a1008bb3ffff,EARLY,90,3.93,reference
892a1008bb3ffff,EVE,279,12.28,reference
892a1008bb3ffff,MD,295,12.99,reference
892a1008bb3ffff,NIGHT,35,1.5,reference
892a1008bb3ffff,PM,370,16.3,reference
892a1008bbbffff,AM,333,14.66,reference
892a1008bbbffff,EARLY,71,3.09,reference
892a1008bbbffff,EVE,403,17.76,reference
892a1008bbbffff,MD,364,16.03,reference
892a1008bbbffff,NIGHT,98,4.28,reference
892a1008bbbffff,PM,457,20.14,reference
892a1008c03ffff,AM,29,1.24,reference
892a1008c03ffff,EARLY,4,0.13,reference
892a1008c03ffff,EVE,125,5.48,reference
892a1008c03ffff,MD,150,6.58,reference
892a1008c03ffff,NIGHT,4,0.13,reference
892a1008c03ffff,PM,248,10.91,reference
892a1008c07ffff,AM,69,3.0,reference
892a1008c07ffff,EARLY,59,2.56,reference
892a1008c07ffff,EVE,189,8.3,reference
892a1008c07ffff,MD,158,6.93,reference
892a1008c07ffff,NIGHT,36,1.55,reference
892a1008c07ffff,PM,282,12.41,reference
892a1008c13ffff,AM,12,0.49,reference
892a1008c13ffff,EARLY,3,0.09,reference
892a1008c13ffff,EVE,33,1.41,reference
892a1008c13ffff,MD,23,0.97,reference
892a1008c13ffff,NIGHT,1,0.0,reference
892a1008c13ffff,PM,46,1.99,reference
892a1008c17ffff,AM,54,2.34,reference
892a1008c17ffff,EARLY,14,0.57,reference
892a1008c17ffff,EVE,112,4.9,reference
892a1008c17ffff,MD,157,6.89,reference
892a1008c17ffff,NIGHT,17,0.71,reference
892a1008c17ffff,PM,199,8.75,reference
892a1008c23ffff,AM,112,4.9,reference
892a1008c23ffff,EARLY,21,0.88,reference
892a1008c23ffff,EVE,204,8.97,reference
892a1008c23ffff,MD,214,9.41,reference
892a1008c23ffff,NIGHT,38,1.63,reference
892a1008c23ffff,PM,318,14.0,reference
892a1008c27ffff,AM,134,5.87,reference
892a1008c27ffff,EARLY,38,1.63,reference
892a1008c27ffff,EVE,160,7.02,reference
892a1008c27ffff,MD,163,7.16,reference
892a1008c27ffff,NIGHT,29,1.24,reference
892a1008c27ffff,PM,266,11.7,reference
892a1008c2bffff,AM,83,3.62,reference
892a1008c2bffff,EARLY,28,1.19,reference
892a1008c2bffff,EVE,170,7.46,reference
892a1008c2bffff,MD,200,8.79,reference
892a1008c2bffff,NIGHT,29,1.24,reference
892a1008c2bffff,PM,265,11.66,reference
892a1008c2fffff,AM,74,3.22,reference
892a1008c2fffff,EARLY,18,0.75,reference
892a1008c2fffff,EVE,171,7.51,reference
892a1008c2fffff,MD,207,9.1,reference
892a1008c2fffff,NIGHT,27,1.15,reference
892a1008c2fffff,PM,314,13.83,reference
892a1008c37ffff,AM,176,7.73,reference
892a1008c37ffff,EARLY,92,4.02,reference
892a1008c37ffff,EVE,302,13.3,reference
892a1008c37ffff,MD,265,11.66,reference
892a1008c37ffff,NIGHT,63,2.74,reference
892a1008c37ffff,PM,387,17.05,reference
892a1008c3bffff,AM,54,2.34,reference
892a1008c3bffff,EARLY,9,0.35,reference
892a1008c3bffff,EVE,105,4.59,reference
892a1008c3bffff,MD,99,4.33,reference
892a1008c3bffff,NIGHT,15,0.62,reference
892a1008c3bffff,PM,131,5.74,reference
892a1008c77ffff,AM,61,2.65,reference
892a1008c77ffff,EARLY,7,0.27,reference
892a1008c77ffff,EVE,95,4.15,reference
892a1008c77ffff,MD,127,5.57,reference
892a1008c77ffff,NIGHT,8,0.31,reference
892a1008c77ffff,PM,192,8.44,reference
892a1008c83ffff,AM,43,1.86,reference
892a1008c83ffff,EARLY,37,1.59,reference
892a1008c83ffff,EVE,90,3.93,reference
892a1008c83ffff,MD,69,3.0,reference
892a1008c83ffff,NIGHT,29,1.24,reference
892a1008c83ffff,PM,103,4.51,reference
892a1008c87ffff,AM,36,1.55,reference
892a1008c87ffff,EARLY,8,0.31,reference
892a1008c87ffff,EVE,40,1.72,reference
892a1008c87ffff,MD,58,2.52,reference
892a1008c87ffff,NIGHT,5,0.18,reference
892a1008c87ffff,PM,49,2.12,reference
892a1008c8bffff,AM,57,2.47,reference
892a1008c8bffff,EARLY,11,0.44,reference
892a1008c8bffff,EVE,72,3.14,reference
892a1008c8bffff,MD,56,2.43,reference
892a1008c8bffff,NIGHT,10,0.4,reference
892a1008c8bffff,PM,61,2.65,reference
892a1008c8fffff,AM,39,1.68,reference
892a1008c8fffff,EARLY,18,0.75,reference
892a1008c8fffff,EVE,48,2.08,reference
892a1008c8fffff,MD,42,1.81,reference
892a1008c8fffff,NIGHT,7,0.27,reference
892a1008c8fffff,PM,61,2.65,reference
892a1008c93ffff,AM,25,1.06,reference
892a1008c93ffff,EARLY,24,1.02,reference
892a1008c93ffff,EVE,35,1.5,reference
892a1008c93ffff,MD,39,1.68,reference
892a1008c93ffff,NIGHT,7,0.27,reference
892a1008c93ffff,PM,49,2.12,reference
892a1008c97ffff,AM,22,0.93,reference
892a1008c97ffff,EARLY,4,0.13,reference
892a1008c97ffff,EVE,17,0.71,reference
892a1008c97ffff,MD,66,2.87,reference
892a1008c97ffff,NIGHT,2,0.04,reference
892a1008c97ffff,PM,53,2.3,reference
892a1008c9bffff,AM,13,0.53,reference
892a1008c9bffff,EARLY,4,0.13,reference
892a1008c9bffff,EVE,12,0.49,reference
892a1008c9bffff,MD,12,0.49,reference
892a1008c9bffff,NIGHT,1,0.0,reference
892a1008c9bffff,PM,16,0.66,reference
892a1008ca7ffff,AM,87,3.8,reference
892a1008ca7ffff,EARLY,34,1.46,reference
892a1008ca7ffff,EVE,88,3.84,reference
892a1008ca7ffff,MD,121,5.3,reference
892a1008ca7ffff,NIGHT,22,0.93,reference
892a1008ca7ffff,PM,141,6.18,reference
892a1008cabffff,AM,29,1.24,reference
892a1008cabffff,EARLY,12,0.49,reference
892a1008cabffff,EVE,55,2.39,reference
892a1008cabffff,MD,54,2.34,reference
892a1008cabffff,NIGHT,6,0.22,reference
892a1008cabffff,PM,67,2.92,reference
892a1008cafffff,AM,145,6.36,reference
892a1008cafffff,EARLY,63,2.74,reference
892a1008cafffff,EVE,211,9.28,reference
