h3_cell,period,mta_ridership_total,mta_ridership_avg,mta_station_count,mta_transfers_total,mta_load_score,survey_date
892a1008bbbffff,PM,8231.0,283.82758620689657,1,223.0,19.8,reference
892a1008c07ffff,AM,1379.0,62.68181818181818,1,22.0,3.26,reference
892a1008c07ffff,EARLY,256.0,8.533333333333333,1,5.0,0.55,reference
892a1008c07ffff,EVE,1041.0,43.375,1,26.0,2.45,reference
892a1008c07ffff,MD,1059.0,42.36,1,31.0,2.49,reference
892a1008c07ffff,NIGHT,149.0,12.416666666666666,1,6.0,0.29,reference
892a1008c07ffff,PM,1969.0,70.32142857142857,1,55.0,4.69,reference
892a1008c27ffff,AM,1381.0,69.05,1,64.0,3.27,reference
892a1008c27ffff,EARLY,229.0,8.178571428571429,1,9.0,0.49,reference
892a1008c27ffff,EVE,787.0,32.791666666666664,1,38.0,1.83,reference
892a1008c27ffff,MD,843.0,32.42307692307692,1,52.0,1.97,reference
892a1008c27ffff,NIGHT,134.0,11.166666666666666,1,4.0,0.26,reference
892a1008c27ffff,PM,1288.0,53.66666666666666,1,97.0,3.04,reference
892a1008c2bffff,AM,1072.0,63.05882352941177,1,21.0,2.52,reference
892a1008c2bffff,EARLY,178.0,7.739130434782608,1,6.0,0.36,reference
892a1008c2bffff,EVE,1605.0,64.2,1,18.0,3.81,reference
892a1008c2bffff,MD,1215.0,50.625,1,20.0,2.87,reference
892a1008c2bffff,NIGHT,202.0,18.363636363636363,1,7.0,0.42,reference
892a1008c2bffff,PM,3476.0,133.69230769230768,1,30.0,8.32,reference
892a1008c83ffff,AM,2386.0,108.45454545454544,1,20.0,5.69,reference
892a1008c83ffff,EARLY,725.0,20.714285714285715,1,2.0,1.68,reference
892a1008c83ffff,EVE,1055.0,42.2,1,11.0,2.48,reference
892a1008c83ffff,MD,1721.0,66.1923076923077,1,15.0,4.09,reference
892a1008c83ffff,NIGHT,135.0,12.272727272727272,1,0.0,0.26,reference
892a1008c83ffff,PM,2215.0,76.37931034482759,1,23.0,5.28,reference
892a1008c93ffff,AM,1796.0,85.52380952380952,1,81.0,4.27,reference
892a1008c93ffff,EARLY,642.0,18.88235294117647,1,26.0,1.48,reference
892a1008c93ffff,EVE,899.0,34.57692307692308,1,37.0,2.1,reference
892a1008c93ffff,MD,1284.0,51.36,1,43.0,3.03,reference
892a1008c93ffff,NIGHT,154.0,14.0,1,6.0,0.31,reference
892a1008c93ffff,PM,1567.0,58.03703703703704,1,77.0,3.72,reference
892a1008cafffff,AM,4666.0,222.1904761904762,1,310.0,11.2,reference
892a1008cafffff,EARLY,1222.0,31.33333333333333,1,105.0,2.88,reference
892a1008cafffff,EVE,3543.0,147.625,1,214.0,8.48,reference
892a1008cafffff,MD,3384.0,125.33333333333331,1,198.0,8.1,reference
892a1008cafffff,NIGHT,684.0,52.61538461538461,1,48.0,1.59,reference
892a1008cafffff,PM,6668.0,229.93103448275863,1,386.0,16.03,reference
892a1008cb3ffff,AM,1022.0,51.1,1,29.0,2.4,reference
892a1008cb3ffff,EARLY,209.0,7.464285714285714,1,7.0,0.44,reference
892a1008cb3ffff,EVE,535.0,24.318181818181817,1,14.0,1.23,reference
892a1008cb3ffff,MD,775.0,31.0,1,11.0,1.81,reference
892a1008cb3ffff,NIGHT,78.0,7.8,1,1.0,0.12,reference
892a1008cb3ffff,PM,1397.0,48.172413793103445,1,33.0,3.31,reference
892a1008d07ffff,AM,2336.0,111.23809523809524,1,20.0,5.57,reference
892a1008d07ffff,EARLY,516.0,16.64516129032258,1,0.0,1.18,reference
892a1008d07ffff,EVE,1013.0,36.17857142857143,1,9.0,2.38,reference
892a1008d07ffff,MD,1352.0,52.0,1,12.0,3.2,reference
892a1008d07ffff,NIGHT,125.0,11.363636363636363,1,0.0,0.24,reference
892a1008d07ffff,PM,2463.0,82.1,1,34.0,5.88,reference
892a1008d17ffff,AM,2431.0,110.5,1,192.0,5.8,reference
892a1008d17ffff,EARLY,723.0,19.54054054054054,1,34.0,1.68,reference
892a1008d17ffff,EVE,1541.0,51.36666666666667,1,108.0,3.65,reference
892a1008d17ffff,MD,1790.0,61.72413793103448,1,121.0,4.25,reference
892a1008d17ffff,NIGHT,167.0,15.181818181818182,1,10.0,0.34,reference
892a1008d17ffff,PM,3279.0,99.36363636363636,1,178.0,7.85,reference
892a1008d2bffff,AM,2019.0,84.125,1,25.0,4.81,reference
892a1008d2bffff,EARLY,526.0,15.028571428571428,1,0.0,1.2,reference
892a1008d2bffff,EVE,1394.0,51.629629629629626,1,17.0,3.3,reference
892a1008d2bffff,MD,1673.0,61.96296296296296,1,19.0,3.97,reference
892a1008d2bffff,NIGHT,260.0,23.63636363636364,1,0.0,0.56,reference
892a1008d2bffff,PM,3804.0,126.8,1,31.0,9.11,reference
892a1008d47ffff,AM,1614.0,89.66666666666667,1,90.0,3.83,reference
892a1008d47ffff,EARLY,362.0,12.482758620689657,1,7.0,0.81,reference
892a1008d47ffff,EVE,953.0,38.12,1,43.0,2.23,reference
892a1008d47ffff,MD,934.0,40.60869565217392,1,34.0,2.19,reference
892a1008d47ffff,NIGHT,120.0,12.0,1,7.0,0.22,reference
892a1008d47ffff,PM,1732.0,66.61538461538461,1,128.0,4.11,reference
892a1008d4bffff,AM,1829.0,101.61111111111111,1,44.0,4.35,reference
892a1008d4bffff,EARLY,252.0,8.129032258064516,1,1.0,0.54,reference
892a1008d4bffff,EVE,825.0,39.285714285714285,1,22.0,1.93,reference
892a1008d4bffff,MD,1035.0,45.0,1,25.0,2.43,reference
892a1008d4bffff,NIGHT,120.0,10.909090909090908,1,2.0,0.22,reference
892a1008d4bffff,PM,1619.0,57.82142857142857,1,83.0,3.84,reference
892a1008d57ffff,AM,1980.0,90.0,1,165.0,4.71,reference
892a1008d57ffff,EARLY,403.0,13.89655172413793,1,37.0,0.91,reference
