zone_id,h3_cell,weight
103,892a10721b3ffff,0.05263157894736842
103,892a10721a3ffff,0.05263157894736842
103,892a10721afffff,0.05263157894736842
103,892a1072cdbffff,0.05263157894736842
103,892a1072cc3ffff,0.05263157894736842
103,892a1072cd7ffff,0.05263157894736842
103,892a1072c9bffff,0.05263157894736842
103,892a100d267ffff,0.05263157894736842
103,892a100d277ffff,0.05263157894736842
103,892a100d273ffff,0.05263157894736842
103,892a100d247ffff,0.05263157894736842
104,892a10721a3ffff,0.07142857142857142
104,892a10721bbffff,0.07142857142857142
104,892a10721afffff,0.07142857142857142
104,892a10721a7ffff,0.07142857142857142
104,892a10721b7ffff,0.07142857142857142
104,892a10721b3ffff,0.07142857142857142
104,892a1072187ffff,0.07142857142857142
104,892a1072137ffff,0.07142857142857142
104,892a1072cdbffff,0.07142857142857142
104,892a1072cd3ffff,0.07142857142857142
104,892a100d26bffff,0.07142857142857142
104,892a100d27bffff,0.07142857142857142
104,892a100d24fffff,0.07142857142857142
104,892a100d24bffff,0.07142857142857142
105,892a1072cd3ffff,0.05263157894736842
105,892a10721a7ffff,0.05263157894736842
105,892a1072cdbffff,0.05263157894736842
105,892a1072cc3ffff,0.05263157894736842
105,892a1072cd7ffff,0.05263157894736842
105,892a100d26fffff,0.05263157894736842
105,892a100d26bffff,0.05263157894736842
105,892a10721b7ffff,0.05263157894736842
105,892a10721a3ffff,0.05263157894736842
105,892a10721afffff,0.05263157894736842
105,892a1072137ffff,0.05263157894736842
105,892a1072ccbffff,0.05263157894736842
105,892a1072ccfffff,0.05263157894736842
105,892a1072cc7ffff,0.05263157894736842
105,892a1072c8bffff,0.05263157894736842
105,892a1072c9bffff,0.05263157894736842
105,892a100d267ffff,0.05263157894736842
105,892a100d263ffff,0.05263157894736842
105,892a100d27bffff,0.05263157894736842
107,892a1008d43ffff,0.05263157894736842
107,892a1008d5bffff,0.05263157894736842
107,892a1008d4bffff,0.05263157894736842
107,892a1008d4fffff,0.05263157894736842
107,892a1008d47ffff,0.05263157894736842
107,892a1008d57ffff,0.05263157894736842
107,892a1008d53ffff,0.05263157894736842
107,892a1008c27ffff,0.05263157894736842
107,892a1008c2fffff,0.05263157894736842
107,892a1008897ffff,0.05263157894736842
107,892a1008887ffff,0.05263157894736842
107,892a10088b3ffff,0.05263157894736842
107,892a10088b7ffff,0.05263157894736842
107,892a1008d7bffff,0.05263157894736842
107,892a1008d73ffff,0.05263157894736842
107,892a1008d0bffff,0.05263157894736842
107,892a1008d1bffff,0.05263157894736842
107,892a1008dcfffff,0.05263157894736842
107,892a1008dcbffff,0.05263157894736842
113,892a100d68fffff,0.05263157894736842
113,892a100d68bffff,0.05263157894736842
113,892a100d613ffff,0.05263157894736842
113,892a100d617ffff,0.05263157894736842
113,892a100d6bbffff,0.05263157894736842
113,892a100d687ffff,0.05263157894736842
113,892a100d683ffff,0.05263157894736842
113,892a100d69bffff,0.05263157894736842
113,892a100d6d7ffff,0.05263157894736842
113,892a100d6c7ffff,0.05263157894736842
113,892a100d61bffff,0.05263157894736842
113,892a100d603ffff,0.05263157894736842
113,892a100d607ffff,0.05263157894736842
113,892a100d6abffff,0.05263157894736842
113,892a100d6a3ffff,0.05263157894736842
113,892a100d6b3ffff,0.05263157894736842
113,892a100d44bffff,0.05263157894736842
113,892a100d697ffff,0.05263157894736842
113,892a100d693ffff,0.05263157894736842
114,892a100893bffff,0.05263157894736842
114,892a100890fffff,0.05263157894736842
114,892a1008977ffff,0.05263157894736842
114,892a100892bffff,0.05263157894736842
114,892a1008923ffff,0.05263157894736842
114,892a1008933ffff,0.05263157894736842
114,892a1008907ffff,0.05263157894736842
114,892a1008903ffff,0.05263157894736842
114,892a100890bffff,0.05263157894736842
114,892a1008973ffff,0.05263157894736842
114,892a1008963ffff,0.05263157894736842
114,892a1008967ffff,0.05263157894736842
114,892a100d693ffff,0.05263157894736842
114,892a100892fffff,0.05263157894736842
114,892a1008927ffff,0.05263157894736842
114,892a1008937ffff,0.05263157894736842
114,892a10089afffff,0.05263157894736842
114,892a10089abffff,0.05263157894736842
114,892a1008917ffff,0.05263157894736842
116,892a100d2c3ffff,0.05263157894736842
116,892a100d2dbffff,0.05263157894736842
116,892a100d2cbffff,0.05263157894736842
116,892a100d2cfffff,0.05263157894736842
116,892a100d2c7ffff,0.05263157894736842
116,892a100d2d7ffff,0.05263157894736842
116,892a100d2d3ffff,0.05263157894736842
116,892a10725a7ffff,0.05263157894736842
116,892a10725afffff,0.05263157894736842
116,892a1072537ffff,0.05263157894736842
116,892a1072527ffff,0.05263157894736842
116,892a100d253ffff,0.05263157894736842
116,892a100d257ffff,0.05263157894736842
116,892a100d21bffff,0.05263157894736842
116,892a100d213ffff,0.05263157894736842
116,892a100d28bffff,0.05263157894736842
116,892a100d29bffff,0.05263157894736842
116,892a100d66fffff,0.05263157894736842
116,892a100d66bffff,0.05263157894736842
120,892a10725a3ffff,0.05263157894736842
120,892a10725bbffff,0.05263157894736842
120,892a10725abffff,0.05263157894736842
120,892a10725afffff,0.05263157894736842
120,892a10725a7ffff,0.05263157894736842
120,892a10725b7ffff,0.05263157894736842
120,892a10725b3ffff,0.05263157894736842
120,892a1072587ffff,0.05263157894736842
120,892a107258fffff,0.05263157894736842
120,892a1072517ffff,0.05263157894736842
120,892a1072507ffff,0.05263157894736842
120,892a1072533ffff,0.05263157894736842
120,892a1072537ffff,0.05263157894736842
120,892a100d2dbffff,0.05263157894736842
120,892a100d2d3ffff,0.05263157894736842
120,892a100d66bffff,0.05263157894736842
120,892a100d67bffff,0.05263157894736842
120,892a100d64fffff,0.05263157894736842
120,892a100d64bffff,0.05263157894736842
125,892a100d21bffff,0.05263157894736842
125,892a100d2cfffff,0.05263157894736842
125,892a100d257ffff,0.05263157894736842
125,892a100d20bffff,0.05263157894736842
125,892a100d203ffff,0.05263157894736842
125,892a100d213ffff,0.05263157894736842
125,892a100d2c7ffff,0.05263157894736842
125,892a100d2c3ffff,0.05263157894736842
125,892a100d2cbffff,0.05263157894736842
125,892a100d253ffff,0.05263157894736842
125,892a100d243ffff,0.05263157894736842
125,892a100d247ffff,0.05263157894736842
125,892a100d273ffff,0.05263157894736842
125,892a100d20fffff,0.05263157894736842
125,892a100d207ffff,0.05263157894736842
125,892a100d217ffff,0.05263157894736842
125,892a100d28fffff,0.05263157894736842
125,892a100d28bffff,0.05263157894736842
